,,,-35.97200289E-3,134.0503246E-3,,,,,-35.97200289E-3,63.203133643E-3,
,,,-35.96800193E-3,133.9972019E-3,,,,,-35.96800193E-3,63.140630722E-3,
,,,-35.96400097E-3,133.9565665E-3,,,,,-35.96400097E-3,63.093751669E-3,
,,,-35.96000001E-3,133.9643896E-3,,,,,-35.96000001E-3,63.179694116E-3,
,,,-35.95600277E-3,133.9596957E-3,,,,,-35.95600277E-3,63.054695725E-3,
,,,-35.95200181E-3,133.9128166E-3,,,,,-35.95200181E-3,63.078127801E-3,
,,,-35.94800085E-3,133.8909417E-3,,,,,-35.94800085E-3,63.140630722E-3,
,,,-35.94399989E-3,133.8346899E-3,,,,,-35.94399989E-3,63.062503934E-3,
,,,-35.94000265E-3,133.8268816E-3,,,,,-35.94000265E-3,62.992192805E-3,
,,,-35.93600169E-3,133.7987632E-3,,,,,-35.93600169E-3,62.992192805E-3,
,,,-35.93200073E-3,133.7815672E-3,,,,,-35.93200073E-3,62.953129411E-3,
,,,-35.92799976E-3,133.7081343E-3,,,,,-35.92799976E-3,62.953129411E-3,
,,,-35.92400253E-3,133.7487549E-3,,,,,-35.92400253E-3,62.953129411E-3,
,,,-35.92000157E-3,133.7003261E-3,,,,,-35.92000157E-3,62.796883285E-3,
,,,-35.91600060E-3,133.7612569E-3,,,,,-35.91600060E-3,62.992192805E-3,
,,,-35.91199964E-3,133.7300092E-3,,,,,-35.91199964E-3,62.898442149E-3,
,,,-35.90800241E-3,133.7815672E-3,,,,,-35.90800241E-3,63.078127801E-3,
,,,-35.90400144E-3,133.7815672E-3,,,,,-35.90400144E-3,63.039064407E-3,
,,,-35.90000048E-3,133.6925030E-3,,,,,-35.90000048E-3,62.953129411E-3,
,,,-35.89599952E-3,133.6081326E-3,,,,,-35.89599952E-3,62.890633941E-3,
,,,-35.89200228E-3,133.7175071E-3,,,,,-35.89200228E-3,62.898442149E-3,
,,,-35.88800132E-3,133.7784529E-3,,,,,-35.88800132E-3,62.875002623E-3,
,,,-35.88400036E-3,133.6081326E-3,,,,,-35.88400036E-3,62.851570547E-3,
,,,-35.87999940E-3,133.7096989E-3,,,,,-35.87999940E-3,62.953129411E-3,
,,,-35.87600216E-3,133.6471885E-3,,,,,-35.87600216E-3,62.921881676E-3,
,,,-35.87200120E-3,133.5784495E-3,,,,,-35.87200120E-3,62.976568937E-3,
,,,-35.86800024E-3,133.5503161E-3,,,,,-35.86800024E-3,62.898442149E-3,
,,,-35.86399928E-3,133.5143894E-3,,,,,-35.86399928E-3,62.937505543E-3,
,,,-35.86000204E-3,133.5987598E-3,,,,,-35.86000204E-3,62.875002623E-3,
,,,-35.85600108E-3,133.5675120E-3,,,,,-35.85600108E-3,62.898442149E-3,
,,,-35.85200012E-3,133.5472018E-3,,,,,-35.85200012E-3,62.875002623E-3,
,,,-35.84800288E-3,133.6112618E-3,,,,,-35.84800288E-3,62.921881676E-3,
,,,-35.84400192E-3,133.5425079E-3,,,,,-35.84400192E-3,62.898442149E-3,
,,,-35.84000096E-3,133.5050017E-3,,,,,-35.84000096E-3,62.937505543E-3,
,,,-35.83600000E-3,133.5221976E-3,,,,,-35.83600000E-3,62.851570547E-3,
